Date,Disease,Frequency,Average Age,StdDev Age,Subdistrict
2018-03-05,J18.0,2,12.0,11.0,2
2018-03-08,J18.0,1,2.0,0.0,7
2018-03-11,J18.0,2,42.5,40.5,4
2018-03-13,J18.0,3,1.6666666666666667,0.9428090415820634,6
2018-03-14,J18.0,1,77.0,0.0,4
2018-03-15,J18.0,1,1.0,0.0,2
2018-03-19,J18.0,1,0.0,0.0,5
2018-03-20,J18.0,2,1.0,0.0,6
2018-03-21,J18.0,1,25.0,0.0,7
2018-03-22,J18.0,1,1.0,0.0,3
2018-03-25,J18.0,1,3.0,0.0,3
2018-03-26,J18.0,4,28.0,26.248809496813376,4
2018-03-27,J18.0,1,1.0,0.0,6
2018-03-28,J18.0,2,4.0,1.0,6
2018-03-30,J18.0,1,1.0,0.0,6
2018-03-31,J18.0,1,3.0,0.0,6
2018-04-01,J18.0,1,51.0,0.0,7
2018-04-02,J18.0,1,1.0,0.0,4
2018-04-03,J18.0,3,26.666666666666668,24.30820620467271,5
2018-04-04,J18.0,3,12.333333333333334,16.027753706895076,6
2018-04-05,J18.0,1,3.0,0.0,4
2018-04-07,J18.0,3,20.0,25.468935326524086,6
2018-04-08,J18.0,3,1.0,0.816496580927726,2
2018-04-09,J18.0,2,41.5,22.5,5
2018-04-10,J18.0,1,71.0,0.0,3
2018-04-11,J18.0,4,28.25,28.525208149985513,2
2018-04-12,J18.0,2,27.5,22.5,2
2018-04-13,J18.0,2,43.0,39.0,6
2018-04-14,J18.0,1,65.0,0.0,5
2018-04-16,J18.0,1,3.0,0.0,3
2018-04-18,J18.0,1,1.0,0.0,6
2018-04-21,J18.0,1,70.0,0.0,5
2018-04-22,J18.0,1,76.0,0.0,5
2018-04-23,J18.0,1,1.0,0.0,6
2018-04-24,J18.0,2,6.0,5.0,3
2018-04-25,J18.0,1,6.0,0.0,3
2018-04-26,J18.0,1,59.0,0.0,2
2018-04-28,J18.0,1,38.0,0.0,1
2018-04-30,J18.0,2,25.5,20.5,3
2018-05-02,J18.0,3,13.333333333333334,15.369522511198003,4
2018-05-05,J18.0,2,33.0,31.0,3
2018-05-06,J18.0,1,2.0,0.0,3
2018-05-07,J18.0,4,30.5,15.337861650177967,4
2018-05-08,J18.0,2,25.0,25.0,4
2018-05-09,J18.0,1,49.0,0.0,3
2018-05-10,J18.0,1,9.0,0.0,7
2018-05-11,J18.0,3,4.666666666666667,2.6246692913372702,6
2018-05-12,J18.0,1,1.0,0.0,3
2018-05-13,J18.0,2,41.0,34.0,4
2018-05-14,J18.0,1,73.0,0.0,3
2018-05-15,J18.0,1,2.0,0.0,2
2018-05-16,J18.0,3,25.666666666666668,34.89348872720461,6
2018-05-17,J18.0,1,57.0,0.0,4
2018-05-18,J18.0,1,0.0,0.0,2
2018-05-19,J18.0,2,0.5,0.5,2
